SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3
14.19,-0.335508,-0.371909,10.052494,-0.028432,0.000807,0.252238,0.999711,-0.018498,0.015288,-0.001557
14.2,-0.348109,-0.383944,9.924331,-0.044166,-0.017342,0.125054,0.999711,-0.018449,0.01532,-0.001566
14.21,-0.354385,-0.401964,9.924309,-0.05077,-0.033751,0.125891,0.999711,-0.018486,0.015321,-0.001521
14.22,-0.347499,-0.372309,9.936538,-0.044312,-0.003814,0.136794,0.999711,-0.018493,0.015292,-0.001555
14.23,-0.310301,-0.360246,9.924318,-0.007493,0.008215,0.123007,0.999711,-0.018515,0.015282,-0.001608
14.24,-0.329526,-0.35366,9.948745,-0.025703,0.014779,0.14775,0.999711,-0.018489,0.015286,-0.001596
14.25,-0.353741,-0.384184,9.960931,-0.049852,-0.013663,0.16179,0.99971,-0.018531,0.015279,-0.001567
14.26,-0.329388,-0.372185,9.973156,-0.02532,-0.001877,0.172813,0.999711,-0.018526,0.01527,-0.001553
14.27,-0.322751,-0.37805,9.936542,-0.020472,-0.009357,0.136255,0.999711,-0.018517,0.015245,-0.001539
14.28,-0.3295,-0.378253,9.979257,-0.025614,-0.008102,0.179134,0.999711,-0.018509,0.015246,-0.001537
14.29,-0.329202,-0.389715,9.899933,-0.028072,-0.024029,0.100313,0.999712,-0.018454,0.015237,-0.001541
14.3,-0.347538,-0.408549,9.948759,-0.045645,-0.041337,0.15033,0.999713,-0.018424,0.015211,-0.001529
14.31,-0.334669,-0.365542,9.899911,-0.034623,0.000624,0.099561,0.999713,-0.018443,0.015186,-0.001502
14.32,-0.335289,-0.36022,9.851084,-0.037353,0.004558,0.050609,0.999714,-0.018463,0.015156,-0.001493
14.33,-0.347017,-0.366627,9.924316,-0.046609,0.001349,0.12435,0.999713,-0.018484,0.015155,-0.001508
14.34,-0.335675,-0.36643,9.979241,-0.033318,0.004218,0.178862,0.999712,-0.018515,0.015163,-0.001486
14.35,-0.35434,-0.385214,9.966925,-0.051162,-0.014335,0.16783,0.999711,-0.018544,0.015208,-0.001499
14.36,-0.329228,-0.366093,9.881608,-0.029811,0.001108,0.081134,0.999712,-0.018541,0.015183,-0.001504
14.37,-0.346997,-0.390187,9.936541,-0.046106,-0.021319,0.137435,0.999712,-0.018524,0.015169,-0.001492
14.38,-0.329903,-0.372466,9.936507,-0.02757,-0.002818,0.136231,0.999711,-0.018547,0.015213,-0.001529
14.39,-0.348194,-0.354382,9.89982,-0.048133,0.01398,0.099465,0.999711,-0.018555,0.015186,-0.001535
14.4,-0.33543,-0.366087,9.899916,-0.035609,0.002029,0.099608,0.999712,-0.018551,0.01517,-0.001537
14.41,-0.31091,-0.347404,9.912117,-0.009868,0.020412,0.110362,0.999712,-0.018529,0.015192,-0.001531
14.42,-0.323486,-0.360288,9.960931,-0.020878,0.01041,0.159978,0.999711,-0.018555,0.015203,-0.001553
14.43,-0.341755,-0.390858,10.015788,-0.037763,-0.018771,0.21646,0.999711,-0.018539,0.015201,-0.00156
14.44,-0.311241,-0.372077,9.942637,-0.009192,-0.003146,0.141771,0.999712,-0.018523,0.015208,-0.001584
14.45,-0.34773,-0.383257,9.954874,-0.045595,-0.01595,0.155511,0.999713,-0.018442,0.015202,-0.001591
14.46,-0.353954,-0.372489,9.99145,-0.050418,-0.002238,0.19184,0.999713,-0.018468,0.015208,-0.001595
14.47,-0.353534,-0.384863,9.912029,-0.053319,-0.017659,0.11295,0.999713,-0.018473,0.015181,-0.001567
14.48,-0.353836,-0.38436,9.906018,-0.053714,-0.017661,0.106936,0.999713,-0.018466,0.015174,-0.001513
14.49,-0.335011,-0.371981,9.881607,-0.036405,-0.006085,0.081523,0.999714,-0.018469,0.015145,-0.001531
14.5,-0.347971,-0.372196,9.960939,-0.046124,-0.003462,0.161168,0.999713,-0.018465,0.015164,-0.00157
14.51,-0.329537,-0.384273,9.918223,-0.029621,-0.017071,0.118387,0.999713,-0.018468,0.01515,-0.001559
14.52,-0.360155,-0.359974,9.973148,-0.057871,0.009192,0.173279,0.999713,-0.018463,0.015165,-0.001539
14.53,-0.347972,-0.402829,9.973138,-0.045727,-0.032825,0.174488,0.999713,-0.018491,0.015173,-0.001496
