SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Acc_X,Acc_Y,Acc_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3
0.891666667,0.002747,-0.000687,0.007324,0.006904,-0.016907,0.119015,0.036649,-0.014536,9.931641,0.999957,0.001568,0.00258,0.008793
0.9,0.00618,-0.001144,0.002518,0.007098,-0.016548,0.118901,0.036668,-0.014279,9.931526,0.999957,0.001594,0.002575,0.008802
0.908333333,-0.001831,0.008469,-0.003662,0.027447,-0.02199,0.074967,0.0143,-0.014724,9.887696,0.999957,0.001586,0.00261,0.008785
0.916666667,-0.001373,0.009842,-0.009384,-0.025904,-0.022573,0.089697,0.064825,-0.000283,9.902232,0.999957,0.00158,0.002651,0.008741
0.925,-0.002747,-0.002518,0.007324,0.002353,-0.000332,0.075149,0.044048,-0.029411,9.887695,0.999957,0.001568,0.002641,0.008771
0.933333333,-0.003204,-0.007782,0.018082,0.032473,-0.031241,0.082121,0.007759,-0.0078,9.894905,0.999956,0.001555,0.002608,0.008844
0.941666667,-0.00824,0.0103,0.013733,0.012376,-0.019386,0.126305,0.028869,-0.014991,9.938966,0.999956,0.00152,0.002651,0.008899
0.95,0.007782,-0.009384,0.003433,-0.005175,-0.005443,0.060397,0.05074,-0.02234,9.872931,0.999956,0.001552,0.002613,0.008909
0.958333333,0.001144,-0.006409,0,-0.000418,-0.015052,0.097077,0.04421,-0.014601,9.909667,0.999956,0.001557,0.002586,0.008909
0.966666667,-0.002289,-0.009613,-0.003662,-0.030839,-0.045016,0.126259,0.066773,0.021879,9.938848,0.999956,0.001548,0.002546,0.008888
0.975,0.00824,-0.007095,0.002747,0.002316,-0.038033,0.089654,0.036914,0.007664,9.902342,0.999956,0.001583,0.002517,0.008897
0.983333333,0.001373,0.000687,0.000687,0.011341,-0.003121,0.126267,0.037165,-0.028668,9.938851,0.999956,0.001589,0.00252,0.008896
0.991666667,0,0.007553,0.003662,0.005675,-0.023759,0.126318,0.036308,-0.007325,9.938966,0.999956,0.001588,0.002551,0.00891
1,0.001602,-0.007553,-0.000916,0.001947,-0.014963,0.148229,0.043572,-0.014696,9.960822,0.999956,0.001595,0.00252,0.008907
1.008333333,0.001831,-0.000687,0.010071,0.00038,-0.0446,0.060338,0.03665,0.014722,9.873047,0.999955,0.001603,0.002517,0.008951
1.016666667,0.002289,-0.008469,-0.007553,0.005739,-0.000589,0.111653,0.044296,-0.029086,9.924201,0.999956,0.001613,0.002482,0.008919
1.025,-0.001602,0,0.001831,0.00003,-0.021869,0.126353,0.043945,-0.007391,9.938965,0.999956,0.001606,0.002482,0.008928
1.033333333,-0.00206,-0.007095,-0.013962,0.004568,-0.007856,0.12628,0.044126,-0.022284,9.938849,0.999956,0.001598,0.002452,0.008873
1.041666667,0.010071,-0.009842,0.009155,0.007384,-0.00045,0.141063,0.044352,-0.028881,9.953613,0.999956,0.00164,0.002412,0.008907
1.05,0,0.00206,0.004349,0.002237,-0.014955,0.104289,0.044661,-0.013848,9.916878,0.999956,0.00164,0.00242,0.00892
1.058333333,0.006409,0.002975,0.002747,-0.002056,-0.004799,0.097136,0.051146,-0.021709,9.909669,0.999956,0.001667,0.002433,0.00893
1.066666667,-0.002975,-0.004807,-0.002747,0.033905,-0.015364,0.118917,0.014504,-0.021638,9.93164,0.999956,0.001655,0.002413,0.008915
1.075,-0.002518,-0.005493,0.000916,0.028,-0.036059,0.045616,0.014874,-0.000103,9.858398,0.999956,0.001644,0.00239,0.008913
1.083333333,-0.005951,0.004807,-0.006409,0.030254,0.000807,0.155508,0.022117,-0.037211,9.968147,0.999956,0.00162,0.00241,0.008886
1.091666667,0.002975,0.003662,-0.002747,0.024348,-0.020349,0.118938,0.021821,-0.014525,9.931641,0.999956,0.001632,0.002425,0.008873
1.1,0.007553,-0.005264,0.007324,-0.004898,-0.019502,0.133714,0.051144,-0.006898,9.946288,0.999956,0.001664,0.002403,0.008903
1.108333333,0.00206,-0.001831,0.001831,0.014273,-0.032008,0.133583,0.029373,0.000085,9.946289,0.999956,0.001672,0.002396,0.00891
1.116666667,0,-0.007553,0.001831,-0.00793,-0.003217,0.097175,0.05902,-0.021859,9.909666,0.999956,0.001672,0.002365,0.008912
1.125,0.007324,-0.009842,0.000916,0.028296,-0.012197,0.053036,0.022377,-0.021672,9.865722,0.999956,0.001703,0.002324,0.008916
1.133333333,0.008926,-0.003891,0.000687,0.013737,-0.008071,0.053002,0.037582,-0.021034,9.865608,0.999956,0.001741,0.002308,0.008918
1.141666667,0.009155,-0.004349,0.011902,0.006311,-0.012331,0.075107,0.044124,-0.014273,9.887695,0.999956,0.001779,0.002291,0.008968
1.15,-0.007782,-0.008011,0.002747,0.010242,0.000327,0.104325,0.044619,-0.028932,9.916875,0.999956,0.001747,0.002257,0.008979
1.158333333,0.001144,-0.003662,0.000916,0.00568,-0.020608,0.184948,0.044098,-0.007277,9.997558,0.999956,0.001751,0.002242,0.008978
1.166666667,0.00206,-0.004807,0.010986,0.021842,-0.017175,0.162914,0.029725,-0.014564,9.975585,0.999955,0.00176,0.002222,0.009024
1.175,0.000229,0.004578,-0.000916,0.008636,-0.0362,0.11163,0.036432,0.007334,9.924317,0.999955,0.001761,0.002241,0.009024
1.183333333,0.000458,0.004807,0.010071,0.014561,-0.015061,0.133656,0.035964,-0.014631,9.94629,0.999955,0.001762,0.002261,0.009069
1.191666667,-0.004349,0.001831,0.002747,0.01694,-0.031161,0.09696,0.029221,-0.00018,9.909668,0.999955,0.001744,0.002269,0.009079
1.2,0.002518,-0.004349,0.002518,0.047337,0.021894,0.133651,0.014599,-0.058947,9.946289,0.999955,0.001755,0.002251,0.009084
1.208333333,0.001831,-0.010757,-0.005493,0.010133,-0.006324,0.155688,0.044393,-0.021896,9.96826,0.999955,0.001763,0.002206,0.009063
1.216666667,-0.004578,-0.009384,0.00618,0.015666,0.014467,0.140986,0.045134,-0.044022,9.953496,0.999955,0.001744,0.002167,0.009084
1.225,0.001144,-0.004578,0.005493,0.036109,0.001564,0.133628,0.022162,-0.036574,9.946289,0.999955,0.001749,0.002148,0.009103
1.233333333,-0.009842,0.001144,-0.004578,0.030009,0.010148,0.067775,0.029594,-0.04435,9.880369,0.999955,0.001708,0.002153,0.009083
1.241666667,0.006409,-0.005264,0,0.020167,-0.00191,0.104395,0.036839,-0.029032,9.916992,0.999955,0.001735,0.002131,0.009082
1.25,-0.002289,-0.004807,-0.005493,0.035678,0.001039,0.016327,0.022514,-0.036257,9.828986,0.999955,0.001726,0.002111,0.009058
1.258333333,-0.000916,-0.008011,0.009155,0.030175,0.002649,0.119018,0.029627,-0.03666,9.93164,0.999955,0.001722,0.002078,0.009094
1.266666667,-0.006638,-0.006638,-0.000229,0.001121,-0.020251,0.111632,0.052116,-0.007713,9.9242,0.999955,0.001695,0.00205,0.009084
1.275,-0.007324,-0.002518,-0.004578,0.010854,-0.016152,0.148339,0.04405,-0.014952,9.960937,0.999956,0.001665,0.002039,0.009058
1.283333333,0.000458,-0.005722,-0.00206,0.000374,-0.027669,0.126257,0.051621,-0.000667,9.938849,0.999956,0.001667,0.002015,0.009049
1.291666667,0.000229,0.000916,0.000916,0.016438,-0.025216,0.155599,0.036583,-0.007315,9.968262,0.999956,0.001668,0.002019,0.009054
1.3,-0.003433,0.007553,0.003662,0.019517,-0.010925,0.111696,0.036194,-0.02223,9.924317,0.999955,0.001653,0.002051,0.009067
1.308333333,-0.005493,-0.005264,0.002747,-0.011124,-0.041142,0.111721,0.058812,0.014421,9.924315,0.999955,0.00163,0.002029,0.009069
1.316666667,-0.006866,-0.003433,-0.009155,0.025416,0.009639,0.11897,0.037108,-0.0448,9.931524,0.999956,0.001602,0.002014,0.009024
