accx,accy,accz,vx,vy,vz,px,py,pz
-0.003670935,-0.007061613,0.001890981,8.46204E-05,0.00015402,-0.000134083,0.582219192,0.22971189,0.00135061
-0.004046119,-0.007386541,0.002239595,7.68953E-05,0.000139552,-0.000129944,0.582219353,0.229712184,0.001350345
-0.004403838,-0.007671546,0.002567771,6.84359E-05,0.000124474,-0.000125125,0.582219499,0.229712448,0.00135009
-0.004741462,-0.007915266,0.002871769,5.92799E-05,0.000108866,-0.000119672,0.582219627,0.229712682,0.001349845
-0.005056411,-0.008116621,0.003148089,4.94701E-05,9.28128E-05,-0.000113638,0.582219736,0.229712884,0.001349611
-0.005346176,-0.008274813,0.003393515,3.90543E-05,7.63997E-05,-0.00010708,0.582219825,0.229713053,0.00134939
-0.005608355,-0.008389329,0.003605155,2.80854E-05,5.97136E-05,-0.000100064,0.582219892,0.229713189,0.001349183
-0.005840677,-0.008459934,0.003780472,1.66208E-05,4.28424E-05,-9.26594E-05,0.582219937,0.229713292,0.00134899
-0.006041032,-0.008486677,0.003917318,4.72265E-06,2.58739E-05,-8.49419E-05,0.582219959,0.229713361,0.001348812
-0.006207505,-0.008469887,0.004013955,-7.54328E-06,8.89564E-06,-7.69902E-05,0.582219956,0.229713395,0.00134865
-0.006338399,-0.008410175,0.004069073,-2.01074E-05,-8.00569E-06,-6.88861E-05,0.582219929,0.229713396,0.001348504
-0.006432255,-0.008308434,0.004081809,-3.28969E-05,-2.47451E-05,-6.07139E-05,0.582219876,0.229713363,0.001348375
-0.006487877,-0.008165846,0.004051748,-4.58364E-05,-4.12394E-05,-5.25589E-05,0.582219797,0.229713297,0.001348262
-0.006504349,-0.007983875,0.003978937,-5.88484E-05,-5.74084E-05,-4.45069E-05,0.582219693,0.229713198,0.001348165
-0.006481048,-0.007764271,0.003863878,-7.18538E-05,-7.31749E-05,-3.66431E-05,0.582219562,0.229713068,0.001348084
-0.006417659,-0.007509053,0.00370752,-8.47726E-05,-8.84655E-05,-2.90514E-05,0.582219405,0.229712906,0.001348018
-0.006314182,-0.007220496,0.003511246,-9.75244E-05,-0.000103211,-2.1813E-05,0.582219223,0.229712714,0.001347967
-0.006170943,-0.006901098,0.003276846,-0.000110029,-0.000117348,-1.50064E-05,0.582219015,0.229712493,0.001347931
-0.005988589,-0.006553543,0.003006495,-0.000122208,-0.000130816,-8.70567E-06,0.582218783,0.229712244,0.001347907
-0.005768093,-0.006180659,0.002702716,-0.000133984,-0.000143562,-2.98041E-06,0.582218526,0.22971197,0.001347896
-0.005510745,-0.00578537,0.002368338,-0.000145281,-0.000155538,2.1052E-06,0.582218247,0.22971167,0.001347895
-0.005218149,-0.00537065,0.002006461,-0.000156027,-0.000166703,6.49294E-06,0.582217945,0.229711347,0.001347904
-0.004892217,-0.004939481,0.001620408,-0.000166153,-0.000177021,1.0131E-05,0.582217623,0.229711003,0.001347921
-0.004535153,-0.004494821,0.001213684,-0.000175596,-0.000186461,1.29746E-05,0.58221728,0.229710639,0.001347945
-0.004149447,-0.004039582,0.000789939,-0.000184294,-0.000195,1.49858E-05,0.58221692,0.229710257,0.001347973
-0.003737849,-0.003576615,0.00035293,-0.000192193,-0.000202619,1.61343E-05,0.582216543,0.229709859,0.001348005
-0.00330335,-0.003108701,-9.35197E-05,-0.000199245,-0.000209307,1.63975E-05,0.582216151,0.229709447,0.001348038
-0.002849157,-0.002638546,-0.000545548,-0.000205407,-0.000215054,1.57602E-05,0.582215746,0.229709022,0.00134807
-0.002378658,-0.002168774,-0.000999289,-0.000210642,-0.000219861,1.42153E-05,0.58221533,0.229708587,0.001348101
-0.00189539,-0.001701924,-0.001450901,-0.000214921,-0.000223729,1.17631E-05,0.582214904,0.229708143,0.001348127
-0.001402992,-0.001240451,-0.001896591,-0.000218223,-0.000226668,8.4117E-06,0.58221447,0.229707692,0.001348148
-0.000905167,-0.00078671,-0.002332632,-0.000220533,-0.000228691,4.17673E-06,0.582214031,0.229707236,0.001348161
-0.000405633,-0.000342956,-0.00275538,-0.000221844,-0.000229815,-9.18832E-07,0.582213588,0.229706777,0.001348165
9.19159E-05,8.86726E-05,-0.003161288,-0.000222156,-0.000230063,-6.8448E-06,0.582213143,0.229706317,0.001348157
0.000583855,0.000506162,-0.003546915,-0.000221476,-0.000229461,-1.3564E-05,0.582212699,0.229705857,0.001348137
0.00106666,0.000907627,-0.003908945,-0.00021982,-0.000228038,-2.10325E-05,0.582212258,0.229705399,0.001348103
0.001536936,0.001291318,-0.004244197,-0.00021721,-0.00022583,-2.91998E-05,0.58221182,0.229704945,0.001348053
0.001991446,0.001655621,-0.004549652,-0.000213673,-0.000222873,-3.80092E-05,0.582211389,0.229704496,0.001347986
0.002427129,0.001999064,-0.004822473,-0.000209244,-0.000219208,-4.73984E-05,0.582210965,0.229704053,0.001347901
0.002841115,0.002320315,-0.005060031,-0.000203964,-0.000214877,-5.72991E-05,0.582210552,0.229703619,0.001347797
0.003230752,0.002618194,-0.005259929,-0.000197879,-0.000209926,-6.76385E-05,0.582210149,0.229703194,0.001347672
0.003593612,0.002891679,-0.00542003,-0.000191041,-0.000204404,-7.83389E-05,0.58220976,0.229702779,0.001347526
0.003927516,0.003139924,-0.005538476,-0.000183505,-0.00019836,-8.93186E-05,0.582209385,0.229702376,0.001347359
0.004230545,0.003362275,-0.005613708,-0.000175331,-0.000191844,-0.000100493,0.582209026,0.229701986,0.001347169
0.004501055,0.00355829,-0.005644493,-0.000166583,-0.00018491,-0.000111773,0.582208684,0.229701609,0.001346957
0.004737693,0.003727748,-0.005629932,-0.000157327,-0.000177611,-0.000123071,0.58220836,0.229701246,0.001346722
0.004939404,0.003870651,-0.005569483,-0.000147632,-0.000169999,-0.000134293,0.582208055,0.229700898,0.001346464
0.005105453,0.003987221,-0.005462962,-0.000137569,-0.000162129,-0.000145349,0.582207769,0.229700566,0.001346185
0.00523543,0.004077896,-0.00531056,-0.00012721,-0.000154051,-0.000156145,0.582207504,0.22970025,0.001345883
0.005329273,0.004143324,-0.005112841,-0.000116628,-0.000145817,-0.000166591,0.58220726,0.22969995,0.00134556
0.005387271,0.004184347,-0.004870748,-0.000105893,-0.000137477,-0.000176596,0.582207038,0.229699666,0.001345217
0.00541007,0.004201991,-0.004585605,-9.50784E-05,-0.00012908,-0.000186074,0.582206837,0.2296994,0.001344854
0.005398674,0.00419745,-0.004259116,-8.42529E-05,-0.000120669,-0.000194939,0.582206658,0.22969915,0.001344472
0.005354431,0.004172068,-0.003893356,-7.34837E-05,-0.00011229,-0.00020311,0.5822065,0.229698917,0.001344074
0.005279021,0.00412732,-0.003490757,-6.28352E-05,-0.000103981,-0.000210512,0.582206364,0.229698701,0.00134366
0.005174432,0.004064793,-0.003054095,-5.23677E-05,-9.57805E-05,-0.000217073,0.582206249,0.229698501,0.001343232
0.005042926,0.003986158,-0.00258647,-4.21374E-05,-8.77219E-05,-0.000222729,0.582206154,0.229698318,0.001342792
0.004887006,0.003893149,-0.002091278,-3.2196E-05,-7.98358E-05,-0.000227419,0.58220608,0.22969815,0.001342341
0.004709365,0.003787542,-0.001572184,-2.25894E-05,-7.21493E-05,-0.000231094,0.582206025,0.229697998,0.001341882
0.004512836,0.003671127,-0.001033099,-1.33585E-05,-6.46857E-05,-0.000233708,0.58220599,0.229697862,0.001341416
0.004300342,0.003545703,-0.000478144,-4.53807E-06,-5.74648E-05,-0.000235226,0.582205972,0.22969774,0.001340947
0.004074837,0.003413055,8.83806E-05,3.84287E-06,-5.05029E-05,-0.000235621,0.582205972,0.229697632,0.001340476
0.003839262,0.003274949,0.000662022,1.17613E-05,-4.38126E-05,-0.000234873,0.582205987,0.229697538,0.001340005
0.00359649,0.003133108,0.001238214,1.91999E-05,-3.74031E-05,-0.000232972,0.582206019,0.229697457,0.001339536
0.003349296,0.002989197,0.00181231,2.61472E-05,-3.12801E-05,-0.00022992,0.582206064,0.229697388,0.001339073
0.003100316,0.002844801,0.002379619,3.25971E-05,-2.54463E-05,-0.000225723,0.582206123,0.229697332,0.001338616
0.002852014,0.0027014,0.002935452,3.85485E-05,-1.99009E-05,-0.000220401,0.582206195,0.229697286,0.00133817
0.002606661,0.002560352,0.003475168,4.40052E-05,-1.46407E-05,-0.000213981,0.582206277,0.229697252,0.001337735
0.002366305,0.00242288,0.003994236,4.89751E-05,-9.65953E-06,-0.000206501,0.582206371,0.229697228,0.001337314
0.00213276,0.002290059,0.004488287,5.34704E-05,-4.94917E-06,-0.000198004,0.582206473,0.229697213,0.001336909
0.001907589,0.002162809,0.004953183,5.75062E-05,-4.99295E-07,-0.000188547,0.582206584,0.229697208,0.001336522
0.001692097,0.002041892,0.005385067,6.11007E-05,3.70207E-06,-0.000178192,0.582206703,0.229697211,0.001336155
0.001487323,0.001927907,0.005780422,6.42746E-05,7.66827E-06,-0.000167007,0.582206829,0.229697223,0.001335809
0.001294035,0.001821294,0.006136121,6.705E-05,1.14137E-05,-0.00015507,0.58220696,0.229697242,0.001335487
0.001112735,0.001722346,0.00644946,6.94507E-05,1.49535E-05,-0.000142463,0.582207097,0.229697268,0.001335189
0.000943663,0.001631216,0.006718192,7.1501E-05,1.83031E-05,-0.000129272,0.582207238,0.229697302,0.001334917
0.000786812,0.001547933,0.006940544,7.32254E-05,2.14783E-05,-0.00011559,0.582207383,0.229697342,0.001334672
0.000641949,0.001472415,0.007115234,7.46482E-05,2.44948E-05,-0.00010151,0.582207531,0.229697388,0.001334454
0.000508643,0.001404484,0.007241471,7.57932E-05,2.7368E-05,-8.7129E-05,0.582207682,0.22969744,0.001334266
0.000386283,0.00134387,0.007318957,7.66828E-05,3.01127E-05,-7.25442E-05,0.582207834,0.229697497,0.001334106
0.000274112,0.001290219,0.007347888,7.73383E-05,3.27435E-05,-5.78532E-05,0.582207988,0.22969756,0.001333975
0.000171243,0.001243089,0.007328947,7.77792E-05,3.52736E-05,-4.31526E-05,0.582208144,0.229697628,0.001333874
7.66876E-05,0.001201953,0.007263294,7.80233E-05,3.77158E-05,-2.85374E-05,0.582208299,0.229697701,0.001333803
-1.06245E-05,0.001166192,0.007152558,7.8086E-05,4.00814E-05,-1.40994E-05,0.582208456,0.229697779,0.00133376
-9.18225E-05,0.001135097,0.006998818,7.79808E-05,4.23806E-05,7.28584E-08,0.582208612,0.229697861,0.001333746
-0.000168072,0.001107864,0.00680459,7.77187E-05,4.46218E-05,1.38958E-05,0.582208768,0.229697949,0.001333761
-0.000240558,0.001083597,0.006572796,7.73085E-05,4.6812E-05,2.72912E-05,0.582208923,0.22969804,0.001333802
-0.000310461,0.001061309,0.006306738,7.67565E-05,4.89562E-05,4.0187E-05,0.582209077,0.229698136,0.00133387
-0.000378949,0.001039919,0.006010056,7.60666E-05,5.10573E-05,5.25182E-05,0.58220923,0.229698236,0.001333963
-0.000447152,0.001018272,0.005686672,7.52407E-05,5.31159E-05,6.42272E-05,0.582209381,0.22969834,0.00133408
-0.000516155,0.000995143,0.005340733,7.4278E-05,5.51304E-05,7.52649E-05,0.582209531,0.229698448,0.00133422
