Time (s),X,Y,Radius
1.7833333333333334,1099,853,33
1.7833333333333334,1039,913,27
1.7833333333333334,271,887,27
1.7833333333333334,1027,839,23
1.7833333333333334,987,34,12
1.7833333333333334,1456,889,21
1.8,958,291,47
1.8,913,869,49
1.8,211,863,49
1.8,1149,883,48
1.8,1219,857,47
1.8,973,883,49
1.8,1519,883,49
1.8,805,889,49
1.8,415,883,49
1.8,637,863,49
1.8,469,883,48
1.8,1357,869,48
1.8,962,531,16
1.8,55,883,48
1.8,1795,893,37
1.8,932,35,13
1.8,1741,895,39
1.8,121,899,32
1.8,1099,853,33
1.8,1039,913,27
1.8,271,887,27
1.8,1027,839,23
1.8,987,34,12
1.8,1456,889,21
1.8166666666666667,959,290,47
1.8166666666666667,913,869,49
1.8166666666666667,211,863,49
1.8166666666666667,1105,883,48
1.8166666666666667,1219,857,47
1.8166666666666667,973,883,49
1.8166666666666667,1519,883,49
1.8166666666666667,805,889,49
1.8166666666666667,415,883,49
1.8166666666666667,637,863,49
1.8166666666666667,469,883,48
1.8166666666666667,1357,869,48
1.8166666666666667,962,531,16
1.8166666666666667,55,883,48
1.8166666666666667,1795,893,37
1.8166666666666667,932,35,13
1.8166666666666667,1741,895,39
1.8166666666666667,121,899,32
1.8166666666666667,1039,913,27
1.8166666666666667,271,887,27
1.8166666666666667,987,34,12
1.8166666666666667,1027,839,23
1.8166666666666667,1456,889,21
1.8333333333333333,958,291,47
1.8333333333333333,913,869,49
1.8333333333333333,211,863,49
1.8333333333333333,1149,883,48
1.8333333333333333,1219,857,47
1.8333333333333333,1519,883,49
1.8333333333333333,973,883,49
1.8333333333333333,805,889,49
1.8333333333333333,415,883,49
1.8333333333333333,637,863,49
1.8333333333333333,469,883,48
1.8333333333333333,1357,869,48
1.8333333333333333,962,531,16
1.8333333333333333,55,883,48
1.8333333333333333,1795,893,37
1.8333333333333333,932,35,13
1.8333333333333333,1741,895,39
1.8333333333333333,121,899,32
1.8333333333333333,1099,853,33
1.8333333333333333,1039,913,27
1.8333333333333333,271,887,27
1.8333333333333333,987,34,12
1.8333333333333333,1027,839,23
1.8333333333333333,1456,889,21
1.85,958,291,47
1.85,913,869,49
1.85,211,863,49
1.85,1149,883,48
1.85,1219,857,47
1.85,1519,883,49
1.85,973,883,49
1.85,805,889,49
1.85,415,883,49
1.85,637,863,49
1.85,469,883,48
1.85,1357,869,48
1.85,962,531,16
1.85,55,883,48
1.85,1795,893,37
1.85,932,35,13
1.85,1741,895,39
1.85,121,899,32
1.85,1099,853,33
1.85,1039,913,27
1.85,271,887,27
1.85,987,34,12
1.85,1027,839,23
1.85,1456,889,21
1.8666666666666667,958,291,47
1.8666666666666667,913,869,49
1.8666666666666667,211,863,49
1.8666666666666667,1105,883,48
1.8666666666666667,1219,857,47
1.8666666666666667,973,883,49
1.8666666666666667,1519,883,49
1.8666666666666667,805,889,49
1.8666666666666667,415,883,49
1.8666666666666667,637,863,49
1.8666666666666667,469,883,48
1.8666666666666667,1357,869,48
1.8666666666666667,962,531,16
1.8666666666666667,55,883,48
1.8666666666666667,1795,893,37
1.8666666666666667,932,35,13
1.8666666666666667,1741,895,39
1.8666666666666667,121,899,32
1.8666666666666667,1039,913,27
1.8666666666666667,271,887,27
1.8666666666666667,987,34,12
1.8666666666666667,1027,839,23
1.8666666666666667,1456,889,21
1.8833333333333333,959,290,47
1.8833333333333333,913,869,49
1.8833333333333333,211,863,49
